ten_mon,ma_lop
An ninh mạng,AUM0121HCCNAK-AUM0121HNCNAK-AUM0221HNCNAK-AUM0320HCCNBK-AUM0320HNCNBK-AUM0420HCCNBK-AUM0420HNCNBK-AUM0520HNCNBK
Biên dịch tiếng Anh,AUM0221HCNAAK-AUM0321HCNAAK-AUM0321HCNABC-AUM0421HNNABC
Bút ngữ tiếng Anh cao cấp 1,AUM0520HCNADX-AUM0520HNNADX-AUM0621HCNAAK-AUM0621HCNABC-AUM0721HNNAAK-AUM0721HNNABC
Bút ngữ tiếng Anh cao cấp 2,AUM0421HCNAAK-AUM0421HCNABC-AUM0521HCNAAK-AUM0521HCNABC-AUM0521HNNAAK-AUM0521HNNABC-AUM0621HNNABC
Bút ngữ tiếng Anh trung cấp 1,AUM0521HCNADX-AUM0521HNNADX-AUM0621HNNADX-AUM0422TNNAAK-AUM0522HCNAAK
Bút ngữ tiếng Anh trung cấp 2,AUM0121HCNADX-AUM0221HNNADX-AUM0322HCNAAK-AUM0322HCNABC
Bút ngữ tiếng Anh trung cấp 3,AUM0122HCNAAK-AUM0122HNNAAK
Các công nghệ mới,AUM0521HCKĐAC
Các hệ quản trị CSDL hiện đại,AUM0121HCCNBC-AUM0221HNCNBC-AUM0320HCCNBK-AUM0320HCCNCX-AUM0320HNCNBK-AUM0320HNCNCX-AUM0420HCCNBK-AUM0420HCCNCX-AUM0420HNCNBK-AUM0420HNCNCX-AUM0520HNCNBK-AUM0520HNCNCX
Cấu trúc dữ liệu và giải thuật,AUM0122HCCNCX-AUM0122TNCNCX-AUM0221HCCNDX-AUM0222HNCNCX-AUM0321HNCNDX-AUM0421HNCNDX-AUM0322HNCNAK-AUM0322HNCNBK-AUM0322HCCNAK-AUM0322HCCNBK-AUM0322TNCNAK-AUM0322TNCNBK-AUM0422HNCNBC-AUM0422HCCNAC-AUM0422HCCNBC-AUM0422TNCNAC-AUM0422TNCNBC-AUM0522HNCNAC-AUM0522HNCNBC-AUM0522HCCNAC-AUM0522HCCNBC
Chủ nghĩa xã hội khoa học,AUM0221HCKTDX-AUM0321HCKTDX-AUM0321HNKTDX-AUM0421HNKTDX-AUM0621HCCNDX-AUM0621HCKĐDX-AUM0621HCLUDX-AUM0621HCNADX-AUM0621HCQTDX-AUM0621HCTCDX-AUM0621HCTMDX-AUM0721HNCNDX-AUM0721HNKĐDX-AUM0721HNLUDX-AUM0721HNNADX-AUM0721HNQTDX-AUM0721HNTCDX-AUM0721HNTMDX-AUM0821HNCNDX-AUM0821HNKĐDX-AUM0821HNLUDX-AUM0821HNQTDX-AUM0821HNTCDX-AUM0821HNTMDX
Cơ bản về mạng máy tính,AUM0121HCCNDX-AUM0121HNCNDX-AUM0621HCCNAK-AUM0721HNCNAK-AUM0821HNCNAK-AUM0122TNCNBK-AUM0221HNCNDX-AUM0222HCCNBK-AUM0222HNCNBK-AUM0322HNCNAC
Cơ sở dữ liệu,AUM0521HNCNDX-AUM0621HNCNDX-AUM0222TNCNBK-AUM0322HNCNAC-AUM0322HNCNAK-AUM0322HNCNBK-AUM0322HCCNAK-AUM0322HCCNBK-AUM0322TNCNAK-AUM0322TNCNBK
Cơ sở lý thuyết mạch điện 1,AUM0322HNKĐAK
Cơ sở lý thuyết mạch và tín hiệu,AUM0421HNKĐBK-AUM0322HNKĐBK-AUM0322HCKĐBK-AUM0322TNKĐBK
Cơ sở mô phỏng viễn thông,AUM0421HNKĐBK-AUM0721HNKĐBC-AUM0821HNKĐBC
Cơ sở thông tin số,AUM0122HCKĐBC-AUM0122HNKĐBC-AUM0222HCKĐBC-AUM0222HNKĐBC-AUM0222TNKĐBC-AUM0421HCKĐCX-AUM0521HCKĐCX-AUM0521HNKĐBK-AUM0521HNKĐCX-AUM0621HCKĐAK-AUM0621HNKĐBK-AUM0621HNKĐCX-AUM0322HNKĐAC
Công nghệ phần mềm ứng dụng,AUM0121HCCNAK-AUM0121HCCNBK-AUM0121HNCNAK-AUM0121HNCNBK-AUM0221HNCNAK-AUM0221HNCNBK-AUM0421HCCNBC-AUM0520HCCNCX-AUM0521HCCNBC-AUM0521HNCNBC-AUM0620HCCNCX-AUM0620HNCNCX-AUM0621HCCNAC-AUM0621HNCNBC-AUM0721HNCNAC-AUM0821HNCNAC
Công pháp quốc tế,AUM0320HCLUDX-AUM0320HNLUDX-AUM0420HNLUDX-AUM0520HNLUDX
